Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Páginas genéricas/G07 - DN,Chrome 119.0.0.0,,,09-12-2023 11:12:01,09-12-2023 11:12:26,24.678s,PASSED
"openBrowser(""https://www.dn.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:12:01,09-12-2023 11:12:04,2.402s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:12:04,09-12-2023 11:12:04,0.147s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Dirio de Notcias/p_Consentir""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:12:04,09-12-2023 11:12:24,20.588s,PASSED
"click(findTestObject(""Object Repository/Page_Dirio de Notcias/p_Consentir""))",Chrome 119.0.0.0,,,09-12-2023 11:12:24,09-12-2023 11:12:25,0.345s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dirio de Notcias/a_Dirio de Notcias""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:12:25,09-12-2023 11:12:26,0.975s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 11:12:26,09-12-2023 11:12:26,0.160s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G08 - TSF,Chrome 119.0.0.0,,,09-12-2023 11:15:10,09-12-2023 11:15:58,47.153s,FAILED
"openBrowser(""https://www.tsf.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:15:10,09-12-2023 11:15:13,3.016s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:15:13,09-12-2023 11:15:14,0.132s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_TSF Rdio Notcias/p_Consentir""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:15:14,09-12-2023 11:15:23,9.314s,PASSED
"click(findTestObject(""Object Repository/Page_TSF Rdio Notcias/p_Consentir""))",Chrome 119.0.0.0,,,09-12-2023 11:15:23,09-12-2023 11:15:58,34.684s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G09 - JN,Chrome 119.0.0.0,,,09-12-2023 11:15:58,09-12-2023 11:16:05,7.757s,PASSED
"openBrowser(""https://www.jn.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:15:58,09-12-2023 11:16:00,2.161s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:16:00,09-12-2023 11:16:00,0.124s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Jornal de Notcias/p_Consentir""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:16:00,09-12-2023 11:16:01,1.547s,PASSED
"click(findTestObject(""Object Repository/Page_Jornal de Notcias/p_Consentir""))",Chrome 119.0.0.0,,,09-12-2023 11:16:01,09-12-2023 11:16:02,0.345s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Jornal de Notcias/strong_Avanar""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:16:02,09-12-2023 11:16:03,1.619s,PASSED
"click(findTestObject(""Object Repository/Page_Jornal de Notcias/strong_Avanar""))",Chrome 119.0.0.0,,,09-12-2023 11:16:03,09-12-2023 11:16:04,0.948s,PASSED
"click(findTestObject(""Object Repository/Page_Jornal de Notcias/button_cancelar""))",Chrome 119.0.0.0,,,09-12-2023 11:16:04,09-12-2023 11:16:05,0.299s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Jornal de Notcias/img""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:16:05,09-12-2023 11:16:05,0.516s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 11:16:05,09-12-2023 11:16:05,0.164s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G10 - Público,Chrome 119.0.0.0,,,09-12-2023 11:16:48,09-12-2023 11:17:03,14.224s,FAILED
"openBrowser(""https://www.publico.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:16:48,09-12-2023 11:16:51,2.323s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:16:51,09-12-2023 11:16:51,0.147s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_PBLICO  Abrir portas onde se erguem muros/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:16:51,09-12-2023 11:16:52,1.448s,PASSED
"click(findTestObject(""Object Repository/Page_PBLICO  Abrir portas onde se erguem muros/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 11:16:52,09-12-2023 11:16:53,0.625s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_PBLICO  Abrir portas onde se erguem muros/div_botao fechar""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:16:53,09-12-2023 11:16:56,2.760s,PASSED
"click(findTestObject(""Object Repository/Page_PBLICO  Abrir portas onde se erguem muros/div_botao fechar""))",Chrome 119.0.0.0,,,09-12-2023 11:16:56,09-12-2023 11:16:56,0.318s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PBLICO  Abrir portas onde se erguem muros/svg_masthead__branding__logo""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:16:56,09-12-2023 11:17:03,6.597s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G11 - Eco,Chrome 119.0.0.0,,,09-12-2023 11:19:09,09-12-2023 11:19:58,48.682s,FAILED
"openBrowser(""https://eco.sapo.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:19:09,09-12-2023 11:19:12,2.919s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:19:12,09-12-2023 11:19:12,0.132s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_ECO  Economia Online/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:19:12,09-12-2023 11:19:13,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_ECO  Economia Online/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 11:19:13,09-12-2023 11:19:13,0.445s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_ECO  Economia Online/a""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:19:13,09-12-2023 11:19:23,10.083s,PASSED
"click(findTestObject(""Object Repository/Page_ECO  Economia Online/a""))",Chrome 119.0.0.0,,,09-12-2023 11:19:23,09-12-2023 11:19:58,34.555s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G12 - Zap,Chrome 119.0.0.0,,,09-12-2023 11:19:58,09-12-2023 11:20:06,8.769s,PASSED
"openBrowser(""https://zap.aeiou.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:19:58,09-12-2023 11:20:00,2.574s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:20:00,09-12-2023 11:20:01,0.351s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_ZAP Notcias - Atualidade, mundo, cinci_9976d8/p_ACEITO""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:20:01,09-12-2023 11:20:02,1.400s,PASSED
"click(findTestObject(""Object Repository/Page_ZAP Notcias - Atualidade, mundo, cinci_9976d8/p_ACEITO""))",Chrome 119.0.0.0,,,09-12-2023 11:20:02,09-12-2023 11:20:02,0.380s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_ZAP Notcias - Atualidade, mundo, cinci_9976d8/img""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:20:02,09-12-2023 11:20:05,3.054s,PASSED
"click(findTestObject(""Object Repository/Page_ZAP Notcias - Atualidade, mundo, cinci_9976d8/img""))",Chrome 119.0.0.0,,,09-12-2023 11:20:05,09-12-2023 11:20:06,0.309s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_ZAP Notcias - Atualidade, mundo, cinci_9976d8/img_main-img-logo""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:20:06,09-12-2023 11:20:06,0.513s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 11:20:06,09-12-2023 11:20:06,0.154s,PASSED
